FileName,Time,FirstTryCorrect,BestStreak,Streak,TotalCompleted,TotalIncorrect
G:\work\github\MCFlashCards_cs\MCFlashCards_cs3\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-18 22:26:13,100,20,20,20,0
G:\work\github\MCFlashCards_cs\MCFlashCards_cs3\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-18 22:38:19,100,20,20,20,0
G:\work\github\MCFlashCards_cs\MCFlashCards_cs3\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-18 22:48:06,0,6,2,8,2
G:\work\github\MCFlashCards_cs\MCFlashCards_cs3\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-18 22:49:09,100,4,4,4,0
G:\work\github\MCFlashCards_cs\MCFlashCards_cs3\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-18 22:50:54,100,5,5,5,0
G:\work\github\MCFlashCards_cs\MCFlashCards_cs3\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-18 22:51:52,100,20,20,20,0
G:\work\github\MCFlashCards\MCFlashCards\bin\Debug\net8.0-windows\\results.csv,2025-05-26 12:48:20,0,12,12,12,1
